config,model,task,protocol,seed,epochs,weight_decay,reported_test_accuracy,paper_target_accuracy,accuracy_gap_to_paper,best_epoch,best_selection_accuracy,train_size,val_size,test_size,sample_count,summary_path
current_control_wd0.001,BLCNN,clear,current_control,123,400,0.001,72.39382239382239,89.69,-17.296177606177608,172,75.20661157024794,1090,121,518,1729,Output/reproduction/formal/current_control_wd0.001/BLCNN_current_control_summary_20260706_014930.csv
current_control_wd0.001,BLCNN,win,current_control,123,400,0.001,72.00772200772201,86.56,-14.552277992277993,28,74.3801652892562,1090,121,518,1729,Output/reproduction/formal/current_control_wd0.001/BLCNN_current_control_summary_20260706_014930.csv
current_control_wd0.001,BLCNN,potted_after_break,current_control,123,400,0.001,68.33976833976834,80.94,-12.600231660231657,280,66.94214876033058,1090,121,518,1729,Output/reproduction/formal/current_control_wd0.001/BLCNN_current_control_summary_20260706_014930.csv
paper40_clean_wd0.0001,BLCNN,clear,paper40_clean,123,400,0.0001,71.47766323024055,89.69,-18.212336769759446,,,776,0,1164,1940,Output/reproduction/formal/paper40_clean_wd0.0001/BLCNN_paper40_clean_summary_20260706_014129.csv
paper40_clean_wd0.0001,BLCNN,win,paper40_clean,123,400,0.0001,66.75257731958763,86.56,-19.807422680412373,,,776,0,1164,1940,Output/reproduction/formal/paper40_clean_wd0.0001/BLCNN_paper40_clean_summary_20260706_014129.csv
paper40_clean_wd0.0001,BLCNN,potted_after_break,paper40_clean,123,400,0.0001,61.254295532646054,80.94,-19.685704467353943,,,776,0,1164,1940,Output/reproduction/formal/paper40_clean_wd0.0001/BLCNN_paper40_clean_summary_20260706_014129.csv
paper40_clean_wd0.001,BLCNN,clear,paper40_clean,123,400,0.001,71.21993127147766,89.69,-18.470068728522335,,,776,0,1164,1940,Output/reproduction/formal/paper40_clean_wd0.001/BLCNN_paper40_clean_summary_20260706_013948.csv
paper40_clean_wd0.001,BLCNN,win,paper40_clean,123,400,0.001,66.5807560137457,86.56,-19.979243986254303,,,776,0,1164,1940,Output/reproduction/formal/paper40_clean_wd0.001/BLCNN_paper40_clean_summary_20260706_013948.csv
paper40_clean_wd0.001,BLCNN,potted_after_break,paper40_clean,123,400,0.001,61.254295532646054,80.94,-19.685704467353943,,,776,0,1164,1940,Output/reproduction/formal/paper40_clean_wd0.001/BLCNN_paper40_clean_summary_20260706_013948.csv
release_code_parity_wd0.0001,BLCNN,clear,release_code_parity,123,400,0.0001,94.50171821305841,89.69,4.811718213058413,388,94.50171821305841,1223,135,582,1940,Output/reproduction/formal/release_code_parity_wd0.0001/BLCNN_release_code_parity_summary_20260706_014707.csv
release_code_parity_wd0.0001,BLCNN,win,release_code_parity,123,400,0.0001,96.04810996563575,86.56,9.488109965635743,381,96.04810996563575,1223,135,582,1940,Output/reproduction/formal/release_code_parity_wd0.0001/BLCNN_release_code_parity_summary_20260706_014707.csv
release_code_parity_wd0.0001,BLCNN,potted_after_break,release_code_parity,123,400,0.0001,94.67353951890034,80.94,13.733539518900344,399,94.67353951890034,1223,135,582,1940,Output/reproduction/formal/release_code_parity_wd0.0001/BLCNN_release_code_parity_summary_20260706_014707.csv
release_code_parity_wd0.001,BLCNN,clear,release_code_parity,123,400,0.001,94.3298969072165,89.69,4.639896907216496,386,94.3298969072165,1223,135,582,1940,Output/reproduction/formal/release_code_parity_wd0.001/BLCNN_release_code_parity_summary_20260706_014420.csv
release_code_parity_wd0.001,BLCNN,win,release_code_parity,123,400,0.001,96.21993127147766,86.56,9.65993127147766,390,96.21993127147766,1223,135,582,1940,Output/reproduction/formal/release_code_parity_wd0.001/BLCNN_release_code_parity_summary_20260706_014420.csv
release_code_parity_wd0.001,BLCNN,potted_after_break,release_code_parity,123,400,0.001,94.67353951890034,80.94,13.733539518900344,397,94.67353951890034,1223,135,582,1940,Output/reproduction/formal/release_code_parity_wd0.001/BLCNN_release_code_parity_summary_20260706_014420.csv
